Well,Chl:630,Chl:663,Chl:750
A1,0.084,0.104,0.07
B1,0.037,0.037,0.038
C1,0.029,0.029,0.029
D1,0.032,0.032,0.032
E1,0.033,0.033,0.033
F1,0.031,0.031,0.031
G1,0.03,0.03,0.03
H1,0.044,0.044,0.043
A2,0.1,0.125,0.082
B2,0.032,0.032,0.031
C2,0.029,0.029,0.029
D2,0.03,0.03,0.03
E2,0.026,0.027,0.026
F2,0.032,0.032,0.032
G2,0.033,0.032,0.032
H2,0.04,0.04,0.04
A3,0.125,0.18,0.167
B3,0.031,0.031,0.031
C3,0.029,0.029,0.029
D3,0.03,0.03,0.03
E3,0.045,0.045,0.044
F3,0.039,0.039,0.038
G3,0.029,0.029,0.029
H3,0.041,0.041,0.041
A4,0.07,0.084,0.06
B4,0.03,0.03,0.03
C4,0.029,0.03,0.029
D4,0.031,0.031,0.031
E4,0.029,0.029,0.029
F4,0.03,0.03,0.029
G4,0.029,0.029,0.029
H4,0.031,0.031,0.03
A5,0.104,0.116,0.09
B5,0.032,0.032,0.031
C5,0.028,0.028,0.028
D5,0.032,0.032,0.032
E5,0.032,0.032,0.032
F5,0.026,0.027,0.026
G5,0.029,0.029,0.029
H5,0.033,0.033,0.032
A6,0.08,0.097,0.07
B6,0.03,0.03,0.03
C6,0.03,0.03,0.029
D6,0.029,0.029,0.029
E6,0.029,0.029,0.029
F6,0.035,0.035,0.035
G6,0.031,0.031,0.03
H6,0.029,0.029,0.029
A7,0.059,0.076,0.051
B7,0.03,0.03,0.03
C7,0.037,0.036,0.036
D7,0.028,0.028,0.028
E7,0.031,0.031,0.031
F7,0.048,0.048,0.047
G7,0.031,0.031,0.031
H7,0.032,0.032,0.031
A8,0.066,0.084,0.056
B8,0.031,0.032,0.031
C8,0.03,0.03,0.03
D8,0.029,0.029,0.029
E8,0.028,0.028,0.028
F8,0.035,0.035,0.034
G8,0.03,0.03,0.03
H8,0.031,0.031,0.031
A9,0.065,0.083,0.054
B9,0.03,0.03,0.03
C9,0.039,0.039,0.038
D9,0.034,0.036,0.035
E9,0.03,0.03,0.03
F9,0.032,0.032,0.031
G9,0.033,0.033,0.032
H9,0.029,0.029,0.029
A10,0.059,0.07,0.05
B10,0.029,0.03,0.03
C10,0.03,0.03,0.03
D10,0.028,0.028,0.028
E10,0.028,0.028,0.028
F10,0.033,0.033,0.035
G10,0.029,0.029,0.029
H10,0.03,0.03,0.03
A11,0.062,0.075,0.055
B11,0.029,0.029,0.03
C11,0.035,0.035,0.035
D11,0.031,0.031,0.031
E11,0.045,0.045,0.045
F11,0.032,0.032,0.032
G11,0.029,0.029,0.029
H11,0.03,0.029,0.029
A12,0.117,0.128,0.105
B12,0.033,0.033,0.033
C12,0.033,0.033,0.033
D12,0.033,0.033,0.032
E12,0.033,0.033,0.033
F12,0.031,0.031,0.031
G12,0.037,0.036,0.036
H12,0.043,0.043,0.042
