Well,562
A1,0.654
B1,1.258
C1,1.085
D1,0.662
E1,0.785
F1,0.757
G1,0.586
H1,0.656
A2,0.616
B2,1.333
C2,0.991
D2,0.717
E2,0.742
F2,0.765
G2,0.64
H2,0.752
A3,0.72
B3,1.256
C3,1.032
D3,0.732
E3,0.743
F3,0.728
G3,0.572
H3,0.716
A4,0.465
B4,1.556
C4,0.989
D4,0.611
E4,0.813
F4,0.79
G4,0.654
H4,0.704
A5,0.469
B5,1.216
C5,1.095
D5,0.601
E5,0.782
F5,0.657
G5,0.706
H5,0.697
A6,0.426
B6,1.463
C6,1.345
D6,0.653
E6,0.627
F6,0.663
G6,0.718
H6,0.692
A7,0.451
B7,1.526
C7,0.547
D7,0.61
E7,0.682
F7,0.661
G7,0.676
H7,0.748
A8,0.408
B8,1.384
C8,0.709
D8,0.6
E8,0.8
F8,0.669
G8,0.673
H8,0.735
A9,0.492
B9,1.366
C9,0.616
D9,0.6
E9,0.748
F9,0.575
G9,0.714
H9,0.737
A10,0.463
B10,0.993
C10,0.636
D10,0.584
E10,0.675
F10,0.635
G10,0.671
H10,0.849
A11,0.485
B11,1.049
C11,0.622
D11,0.569
E11,0.721
F11,0.735
G11,0.632
H11,0.804
A12,0.466
B12,1.004
C12,0.661
D12,0.546
E12,0.735
F12,0.577
G12,0.741
H12,0.818
