Well,Chl:630,Chl:663,Chl:750
A1,0.078,0.092,0.069
B1,0.049,0.049,0.049
C1,0.038,0.038,0.037
D1,0.046,0.045,0.044
E1,0.12,0.118,0.114
F1,0.041,0.041,0.041
G1,0.033,0.033,0.033
H1,0.046,0.045,0.045
A2,0.076,0.091,0.065
B2,0.052,0.05,0.05
C2,0.041,0.04,0.04
D2,0.043,0.042,0.042
E2,0.05,0.048,0.046
F2,0.042,0.042,0.041
G2,0.041,0.041,0.041
H2,0.044,0.043,0.043
A3,0.075,0.088,0.064
B3,0.04,0.039,0.037
C3,0.032,0.032,0.032
D3,0.042,0.041,0.04
E3,0.048,0.047,0.046
F3,0.048,0.047,0.047
G3,0.031,0.03,0.03
H3,0.046,0.046,0.045
A4,0.062,0.078,0.057
B4,0.034,0.033,0.033
C4,0.034,0.034,0.033
D4,0.045,0.043,0.043
E4,0.035,0.034,0.034
F4,0.032,0.031,0.031
G4,0.035,0.035,0.035
H4,0.038,0.037,0.037
A5,0.055,0.073,0.049
B5,0.046,0.045,0.043
C5,0.035,0.035,0.035
D5,0.035,0.035,0.034
E5,0.035,0.035,0.035
F5,0.035,0.034,0.033
G5,0.034,0.034,0.034
H5,0.035,0.034,0.034
A6,0.069,0.092,0.067
B6,0.033,0.033,0.032
C6,0.035,0.035,0.035
D6,0.031,0.031,0.031
E6,0.042,0.041,0.041
F6,0.039,0.038,0.037
G6,0.04,0.04,0.04
H6,0.033,0.032,0.032
A7,0.055,0.064,0.05
B7,0.033,0.033,0.033
C7,0.035,0.034,0.034
D7,0.054,0.052,0.051
E7,0.044,0.043,0.043
F7,0.056,0.055,0.054
G7,0.037,0.037,0.036
H7,0.038,0.037,0.037
A8,0.049,0.056,0.041
B8,0.03,0.03,0.03
C8,0.032,0.031,0.031
D8,0.031,0.03,0.031
E8,0.043,0.043,0.042
F8,0.037,0.037,0.037
G8,0.035,0.035,0.035
H8,0.031,0.031,0.031
A9,0.052,0.062,0.046
B9,0.037,0.036,0.036
C9,0.048,0.046,0.045
D9,0.047,0.047,0.046
E9,0.043,0.042,0.042
F9,0.041,0.041,0.04
G9,0.028,0.028,0.028
H9,0.041,0.041,0.04
A10,0.033,0.033,0.032
B10,0.034,0.033,0.033
C10,0.032,0.032,0.032
D10,0.035,0.035,0.035
E10,0.033,0.033,0.033
F10,0.041,0.04,0.04
G10,0.038,0.037,0.036
H10,0.041,0.041,0.04
A11,0.028,0.028,0.027
B11,0.032,0.032,0.032
C11,0.035,0.036,0.036
D11,0.035,0.035,0.034
E11,0.049,0.049,0.048
F11,0.035,0.035,0.035
G11,0.032,0.032,0.032
H11,0.032,0.032,0.032
A12,0.04,0.04,0.038
B12,0.03,0.03,0.03
C12,0.037,0.037,0.037
D12,0.035,0.035,0.035
E12,0.036,0.035,0.035
F12,0.034,0.033,0.033
G12,0.047,0.046,0.045
H12,0.047,0.047,0.047
