Well,Chl:630,Chl:663,Chl:750
A1,0.113,0.133,0.086
B1,0.035,0.035,0.034
C1,0.036,0.035,0.034
D1,0.039,0.039,0.038
E1,0.037,0.037,0.036
F1,0.04,0.041,0.04
G1,0.033,0.033,0.033
H1,0.045,0.046,0.045
A2,0.134,0.16,0.105
B2,0.038,0.038,0.037
C2,0.051,0.051,0.051
D2,0.037,0.037,0.036
E2,0.037,0.037,0.038
F2,0.039,0.039,0.039
G2,0.038,0.038,0.038
H2,0.042,0.042,0.041
A3,0.14,0.168,0.11
B3,0.039,0.038,0.037
C3,0.034,0.034,0.033
D3,0.039,0.04,0.037
E3,0.045,0.045,0.044
F3,0.046,0.045,0.044
G3,0.03,0.03,0.03
H3,0.042,0.041,0.041
A4,0.09,0.107,0.073
B4,0.035,0.035,0.034
C4,0.033,0.033,0.033
D4,0.033,0.032,0.032
E4,0.03,0.03,0.029
F4,0.031,0.031,0.031
G4,0.034,0.034,0.033
H4,0.035,0.035,0.035
A5,0.106,0.132,0.102
B5,0.047,0.047,0.046
C5,0.03,0.03,0.029
D5,0.033,0.033,0.033
E5,0.033,0.033,0.033
F5,0.029,0.029,0.029
G5,0.035,0.035,0.034
H5,0.034,0.034,0.033
A6,0.142,0.157,0.127
B6,0.032,0.032,0.031
C6,0.034,0.034,0.033
D6,0.03,0.03,0.029
E6,0.034,0.034,0.034
F6,0.036,0.036,0.036
G6,0.038,0.038,0.037
H6,0.031,0.031,0.031
A7,0.064,0.074,0.055
B7,0.033,0.033,0.033
C7,0.034,0.033,0.033
D7,0.029,0.029,0.029
E7,0.041,0.04,0.039
F7,0.055,0.055,0.053
G7,0.034,0.035,0.034
H7,0.036,0.036,0.036
A8,0.061,0.074,0.055
B8,0.029,0.029,0.029
C8,0.031,0.031,0.03
D8,0.029,0.029,0.029
E8,0.046,0.046,0.045
F8,0.036,0.036,0.036
G8,0.031,0.031,0.031
H8,0.032,0.032,0.032
A9,0.172,0.211,0.192
B9,0.034,0.034,0.033
C9,0.043,0.043,0.043
D9,0.043,0.043,0.042
E9,0.042,0.042,0.041
F9,0.037,0.037,0.036
G9,0.028,0.028,0.027
H9,0.029,0.029,0.029
A10,0.135,0.148,0.095
B10,0.031,0.031,0.031
C10,0.042,0.042,0.041
D10,0.03,0.03,0.03
E10,0.03,0.03,0.03
F10,0.04,0.04,0.039
G10,0.035,0.035,0.035
H10,0.033,0.033,0.033
A11,0.095,0.119,0.077
B11,0.031,0.031,0.031
C11,0.041,0.041,0.04
D11,0.031,0.031,0.031
E11,0.047,0.047,0.046
F11,0.033,0.033,0.033
G11,0.032,0.032,0.031
H11,0.031,0.031,0.031
A12,0.09,0.116,0.075
B12,0.028,0.028,0.028
C12,0.037,0.037,0.037
D12,0.034,0.034,0.033
E12,0.035,0.035,0.035
F12,0.032,0.032,0.032
G12,0.041,0.04,0.039
H12,0.043,0.043,0.042
