Well,Chl:630,Chl:663,Chl:750
A1,0.054,0.067,0.048
B1,0.036,0.037,0.039
C1,0.033,0.032,0.031
D1,0.034,0.033,0.033
E1,0.035,0.035,0.034
F1,0.032,0.032,0.032
G1,0.031,0.031,0.03
H1,0.036,0.036,0.036
A2,0.054,0.067,0.048
B2,0.034,0.034,0.034
C2,0.034,0.034,0.034
D2,0.034,0.033,0.033
E2,0.048,0.047,0.045
F2,0.033,0.033,0.032
G2,0.034,0.034,0.033
H2,0.036,0.036,0.035
A3,0.056,0.069,0.049
B3,0.034,0.034,0.034
C3,0.026,0.026,0.027
D3,0.034,0.033,0.033
E3,0.047,0.047,0.046
F3,0.041,0.04,0.039
G3,0.029,0.029,0.029
H3,0.039,0.039,0.038
A4,0.103,0.123,0.085
B4,0.031,0.031,0.031
C4,0.03,0.03,0.03
D4,0.033,0.033,0.032
E4,0.029,0.029,0.029
F4,0.029,0.029,0.029
G4,0.03,0.03,0.03
H4,0.031,0.031,0.031
A5,0.094,0.117,0.081
B5,0.03,0.03,0.03
C5,0.028,0.028,0.028
D5,0.032,0.032,0.032
E5,0.033,0.033,0.033
F5,0.027,0.027,0.026
G5,0.032,0.031,0.03
H5,0.036,0.035,0.034
A6,0.17,0.175,0.128
B6,0.033,0.032,0.032
C6,0.03,0.029,0.029
D6,0.029,0.029,0.029
E6,0.03,0.03,0.029
F6,0.038,0.037,0.037
G6,0.03,0.03,0.03
H6,0.031,0.031,0.031
A7,0.061,0.077,0.052
B7,0.031,0.031,0.03
C7,0.034,0.034,0.034
D7,0.029,0.029,0.029
E7,0.044,0.043,0.043
F7,0.052,0.052,0.051
G7,0.03,0.03,0.029
H7,0.031,0.03,0.03
A8,0.066,0.085,0.06
B8,0.029,0.029,0.029
C8,0.031,0.031,0.03
D8,0.028,0.028,0.027
E8,0.029,0.029,0.029
F8,0.035,0.035,0.034
G8,0.029,0.029,0.029
H8,0.03,0.03,0.03
A9,0.073,0.092,0.067
B9,0.031,0.031,0.031
C9,0.04,0.039,0.039
D9,0.036,0.036,0.035
E9,0.029,0.029,0.029
F9,0.031,0.031,0.031
G9,0.026,0.026,0.026
H9,0.028,0.028,0.028
A10,0.072,0.101,0.057
B10,0.03,0.03,0.029
C10,0.03,0.03,0.03
D10,0.028,0.028,0.028
E10,0.027,0.028,0.027
F10,0.043,0.042,0.042
G10,0.029,0.029,0.029
H10,0.03,0.029,0.029
A11,0.103,0.14,0.088
B11,0.03,0.03,0.03
C11,0.033,0.034,0.035
D11,0.031,0.031,0.031
E11,0.05,0.05,0.049
F11,0.038,0.038,0.038
G11,0.029,0.028,0.029
H11,0.029,0.029,0.029
A12,0.102,0.137,0.085
B12,0.035,0.035,0.035
C12,0.029,0.029,0.029
D12,0.034,0.033,0.033
E12,0.031,0.031,0.031
F12,0.032,0.032,0.031
G12,0.041,0.041,0.04
H12,0.043,0.043,0.042
