Well,Chl:630,Chl:663,Chl:750
A1,0.09,0.11,0.079
B1,0.057,0.056,0.055
C1,0.056,0.056,0.055
D1,0.035,0.035,0.034
E1,0.039,0.038,0.038
F1,0.059,0.058,0.057
G1,0.035,0.035,0.035
H1,0.034,0.034,0.034
A2,0.07,0.092,0.061
B2,0.047,0.047,0.047
C2,0.047,0.046,0.046
D2,0.04,0.04,0.04
E2,0.036,0.036,0.035
F2,0.037,0.037,0.036
G2,0.038,0.038,0.037
H2,0.038,0.037,0.037
A3,0.08,0.1,0.068
B3,0.046,0.045,0.045
C3,0.055,0.054,0.053
D3,0.041,0.041,0.041
E3,0.042,0.042,0.041
F3,0.049,0.048,0.047
G3,0.032,0.032,0.031
H3,0.039,0.039,0.038
A4,0.114,0.136,0.097
B4,0.05,0.049,0.049
C4,0.062,0.062,0.061
D4,0.06,0.06,0.059
E4,0.041,0.041,0.041
F4,0.044,0.044,0.044
G4,0.04,0.039,0.039
H4,0.034,0.033,0.033
A5,0.124,0.147,0.105
B5,0.08,0.08,0.079
C5,0.069,0.072,0.073
D5,0.093,0.092,0.09
E5,0.043,0.043,0.042
F5,0.052,0.052,0.052
G5,0.037,0.037,0.036
H5,0.033,0.033,0.032
A6,0.115,0.141,0.101
B6,0.047,0.046,0.046
C6,0.097,0.096,0.095
D6,0.036,0.035,0.035
E6,0.05,0.05,0.049
F6,0.043,0.043,0.042
G6,0.036,0.035,0.035
H6,0.03,0.03,0.03
A7,0.086,0.113,0.07
B7,0.042,0.042,0.041
C7,0.088,0.087,0.085
D7,0.036,0.036,0.035
E7,0.048,0.047,0.047
F7,0.055,0.054,0.053
G7,0.04,0.04,0.04
H7,0.031,0.032,0.031
A8,0.1,0.128,0.083
B8,0.052,0.052,0.052
C8,0.041,0.041,0.04
D8,0.067,0.066,0.066
E8,0.037,0.036,0.036
F8,0.047,0.047,0.046
G8,0.032,0.032,0.031
H8,0.035,0.034,0.034
A9,0.088,0.12,0.075
B9,0.053,0.052,0.052
C9,0.043,0.043,0.042
D9,0.068,0.067,0.067
E9,0.041,0.041,0.041
F9,0.041,0.041,0.04
G9,0.03,0.03,0.03
H9,0.034,0.034,0.034
A10,0.067,0.074,0.061
B10,0.033,0.033,0.033
C10,0.037,0.036,0.036
D10,0.035,0.035,0.035
E10,0.038,0.038,0.038
F10,0.04,0.04,0.04
G10,0.031,0.031,0.031
H10,0.043,0.043,0.043
A11,0.071,0.078,0.064
B11,0.035,0.035,0.035
C11,0.05,0.049,0.049
D11,0.034,0.034,0.034
E11,0.048,0.048,0.048
F11,0.041,0.041,0.041
G11,0.033,0.033,0.032
H11,0.035,0.034,0.034
A12,0.084,0.092,0.076
B12,0.042,0.041,0.041
C12,0.049,0.049,0.049
D12,0.048,0.048,0.047
E12,0.034,0.034,0.034
F12,0.035,0.035,0.035
G12,0.052,0.055,0.057
H12,0.045,0.044,0.044
,,,
Well,Chl:630,,
A1,0.09,,
B1,0.057,,
C1,0.056,,
D1,0.035,,
E1,0.039,,
F1,0.059,,
G1,0.035,,
H1,0.034,,
A2,0.07,,
B2,0.047,,
C2,0.047,,
D2,0.04,,
E2,0.036,,
F2,0.037,,
G2,0.038,,
H2,0.038,,
A3,0.08,,
B3,0.046,,
C3,0.055,,
D3,0.041,,
E3,0.042,,
F3,0.049,,
G3,0.032,,
H3,0.039,,
A4,0.114,,
B4,0.05,,
C4,0.062,,
D4,0.06,,
E4,0.041,,
F4,0.044,,
G4,0.04,,
H4,0.034,,
A5,0.124,,
B5,0.08,,
C5,0.069,,
D5,0.093,,
E5,0.043,,
F5,0.052,,
G5,0.037,,
H5,0.033,,
A6,0.115,,
B6,0.047,,
C6,0.097,,
D6,0.036,,
E6,0.05,,
F6,0.043,,
G6,0.036,,
H6,0.03,,
A7,0.086,,
B7,0.042,,
C7,0.088,,
D7,0.036,,
E7,0.048,,
F7,0.055,,
G7,0.04,,
H7,0.031,,
A8,0.1,,
B8,0.052,,
C8,0.041,,
D8,0.067,,
E8,0.037,,
F8,0.047,,
G8,0.032,,
H8,0.035,,
A9,0.088,,
B9,0.053,,
C9,0.043,,
D9,0.068,,
E9,0.041,,
F9,0.041,,
G9,0.03,,
H9,0.034,,
A10,0.067,,
B10,0.033,,
C10,0.037,,
D10,0.035,,
E10,0.038,,
F10,0.04,,
G10,0.031,,
H10,0.043,,
A11,0.071,,
B11,0.035,,
C11,0.05,,
D11,0.034,,
E11,0.048,,
F11,0.041,,
G11,0.033,,
H11,0.035,,
A12,0.084,,
B12,0.042,,
C12,0.049,,
D12,0.048,,
E12,0.034,,
F12,0.035,,
G12,0.052,,
H12,0.045,,
