Well,Chl:630,Chl:663,Chl:750
A1,0.13,0.134,0.107
B1,0.058,0.057,0.055
C1,0.044,0.044,0.044
D1,0.037,0.037,0.036
E1,0.036,0.036,0.035
F1,0.058,0.058,0.057
G1,0.035,0.035,0.035
H1,0.035,0.035,0.035
A2,0.067,0.079,0.06
B2,0.054,0.054,0.051
C2,0.048,0.048,0.048
D2,0.041,0.041,0.041
E2,0.039,0.037,0.036
F2,0.035,0.035,0.035
G2,0.036,0.036,0.035
H2,0.036,0.036,0.035
A3,0.06,0.073,0.054
B3,0.044,0.043,0.043
C3,0.05,0.05,0.049
D3,0.041,0.041,0.041
E3,0.028,0.028,0.028
F3,0.048,0.047,0.047
G3,0.032,0.032,0.032
H3,0.039,0.039,0.039
A4,0.055,0.067,0.048
B4,0.041,0.041,0.041
C4,0.061,0.061,0.06
D4,0.065,0.065,0.065
E4,0.04,0.04,0.04
F4,0.043,0.043,0.043
G4,0.038,0.038,0.038
H4,0.033,0.033,0.033
A5,0.065,0.078,0.057
B5,0.043,0.043,0.043
C5,0.06,0.06,0.059
D5,0.096,0.095,0.093
E5,0.043,0.043,0.043
F5,0.044,0.044,0.043
G5,0.036,0.035,0.035
H5,0.034,0.034,0.034
A6,0.066,0.078,0.058
B6,0.04,0.04,0.039
C6,0.098,0.099,0.099
D6,0.035,0.035,0.035
E6,0.049,0.049,0.049
F6,0.042,0.042,0.041
G6,0.036,0.036,0.036
H6,0.03,0.03,0.03
A7,0.113,0.118,0.094
B7,0.038,0.039,0.038
C7,0.056,0.056,0.055
D7,0.035,0.035,0.035
E7,0.047,0.047,0.046
F7,0.053,0.053,0.052
G7,0.04,0.04,0.04
H7,0.032,0.032,0.031
A8,0.089,0.101,0.079
B8,0.044,0.044,0.044
C8,0.039,0.039,0.039
D8,0.034,0.033,0.033
E8,0.03,0.03,0.03
F8,0.046,0.046,0.046
G8,0.034,0.034,0.034
H8,0.034,0.034,0.034
A9,0.086,0.099,0.076
B9,0.033,0.033,0.033
C9,0.043,0.043,0.042
D9,0.067,0.067,0.066
E9,0.041,0.041,0.041
F9,0.04,0.04,0.039
G9,0.03,0.029,0.03
H9,0.038,0.038,0.039
A10,0.081,0.092,0.073
B10,0.042,0.041,0.04
C10,0.038,0.038,0.037
D10,0.034,0.034,0.034
E10,0.037,0.038,0.037
F10,0.04,0.04,0.039
G10,0.034,0.033,0.033
H10,0.036,0.036,0.035
A11,0.082,0.094,0.073
B11,0.04,0.039,0.038
C11,0.049,0.049,0.049
D11,0.035,0.035,0.035
E11,0.051,0.051,0.05
F11,0.043,0.043,0.043
G11,0.032,0.033,0.032
H11,0.034,0.034,0.034
A12,0.123,0.134,0.112
B12,0.038,0.038,0.037
C12,0.05,0.05,0.049
D12,0.047,0.047,0.046
E12,0.036,0.036,0.036
F12,0.035,0.035,0.035
G12,0.051,0.051,0.05
H12,0.047,0.046,0.046
