Analysis of Variance Table

Response: Pnet_umol.cm2.hr
                                 Df  Sum Sq Mean Sq F value   Pr(>F)   
Origin                            1 0.20967 0.20967  3.0016 0.092809 . 
Treatment                         1 0.28444 0.28444  4.0722 0.052044 . 
Transplant.Site                   1 0.68260 0.68260  9.7723 0.003755 **
Origin:Treatment                  1 0.06576 0.06576  0.9414 0.339192   
Origin:Transplant.Site            1 0.03500 0.03500  0.5010 0.484172   
Treatment:Transplant.Site         1 0.00000 0.00000  0.0000 0.999583   
Origin:Treatment:Transplant.Site  1 0.15239 0.15239  2.1817 0.149438   
Residuals                        32 2.23521 0.06985                    
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
