Vial,coral.id,timepoint,life.stage,metric,Dilution.Factor,Count.1,Count.2,Count.3,Count.4,Count.5,Count.6,Avg.Cells,CV,Sum.Counts,squares.count,Total#Squares,Counter.Initials,Date.Counted,Notes
3,P3,Post-Treatment,Adult,Zoox,0,131,130,129,109,108,126,122,8.776740252,733,6,36,EC,01-09-19,Vortexed
11,R1,Post-Treatment,Adult,Zoox,0,208,202,255,228,230,212,223,8.723038611,1335,6,36,EC,01-08-19,Vortexed
20,P12,Post-Treatment,Adult,Zoox,0,287,266,320,300,244,262,280,9.935298898,1679,6,36,EC,01-09-19,Vortexed
28,P20,Pre-Treatment,Adult,Zoox,0,170,172,165,176,168,175,171,2.453354031,1026,6,36,EC,01-08-19,Vortexed
37,P16,Pre-Treatment,Adult,Zoox,0,297,368,348,343,362,377,349,8.155840519,2095,6,36,EC,01-08-19,Vortexed
46,P4,Pre-Treatment,Adult,Zoox,0,223,204,207,207,214,214,212,3.28596697,1269,6,36,EC,1/14/19,Vortexed
55,P19,Pre-Treatment,Adult,Zoox,0,208,215,192,204,220,212,209,4.696812728,1251,6,36,EC,1/14/19,Vortexed. Clear elliptical cells.
64,P7,Pre-Treatment,Adult,Zoox,0,192,182,183,171,184,166,180,5.276328252,1078,6,36,EC,1/14/19,Vortexed. Clear elliptical cells.
73,P8,Pre-Treatment,Adult,Zoox,0,173,188,204,182,179,174,183,6.282600925,1100,6,36,EC,1/14/19,Vortexed
82,P13,Pre-Treatment,Adult,Zoox,0,325,358,301,319,312,290,318,7.396547128,1905,6,36,EC,1/15/19,"Vortexed. Loud sample with a diatom, clear cells and cellular debris."
92,P2,Pre-Treatment,Adult,Zoox,0,246,271,264,229,253,260,254,5.882627078,1523,6,36,EC,1/18/19,Vortexed.
100,P10,Pre-Treatment,Adult,Zoox,0,228,242,263,266,247,265,252,6.117819389,1511,6,36,EC,1/18/19,Vortexed.
109,P18,Pre-Treatment,Adult,Zoox,0,161,163,159,153,174,179,165,5.924521234,989,6,36,EC,1/18/19,Vortexed.
118,P12,Pre-Treatment,Adult,Zoox,0,159,163,161,183,154,174,166,6.4974676,994,6,36,EC,1/18/19,Vortexed.
127,P9,Pre-Treatment,Adult,Zoox,0,148,130,147,133,155,158,145,7.859284083,871,6,36,EC,1/24/19,Vortexed.
136,P17,Pre-Treatment,Adult,Zoox,0,307,307,268,262,242,314,283,10.54028358,1700,6,36,EC,1/24/19,Vortexed.
145,P11,Pre-Treatment,Adult,Zoox,0,93,109,139,150,111,126,121,17.35602879,728,6,36,EC,1/24/19,Vortexed.
154,P1,Pre-Treatment,Adult,Zoox,0,292,307,250,304,292,348,299,10.5702548,1793,6,36,EC,1/24/19,Vortexed.
163,P6,Pre-Treatment,Adult,Zoox,0,268,252,229,243,246,280,253,7.245178964,1518,6,36,EC,1/25/19,Vortexed.
172,P5,Pre-Treatment,Adult,Zoox,0,328,333,359,353,335,353,344,3.781210018,2061,6,36,EC,1/24/19,Vortexed.
181,P14,Pre-Treatment,Adult,Zoox,0,262,249,264,225,211,245,243,8.623048285,1456,6,36,EC,1/24/19,Vortexed.
190,P3,Pre-Treatment,Adult,Zoox,0,267,221,229,239,202,233,232,9.261021263,1391,6,36,EC,1/24/19,Vortexed.
199,P15,Pre-Treatment,Adult,Zoox,0,255,258,243,251,252,244,251,2.378518022,1503,6,36,EC,1/24/19,Vortexed.
208,R4,Post-Treatment,Adult,Zoox,0,393,349,312,311,308,371,341,10.58163875,2044,6,36,EC,1/28/19,Vortexed.
217,R2,Post-Treatment,Adult,Zoox,0,139,153,150,152,172,174,157,8.692732795,940,6,36,EC,1/28/19,Vortexed.
226,R11,Post-Treatment,Adult,Zoox,0,116,121,113,148,137,121,126,10.78898125,756,6,36,MS,1/29/19,Vortexed
235,R5,Post-Treatment,Adult,Zoox,0,346,386,346,332,405,551,404,21.6077909,2020,6,36,MS,1/29/19,Vortexed
244,R18,Post-Treatment,Adult,Zoox,0,49,43,47,49,41,33,44,14.09219024,262,6,36,MS,02-04-19,Vortexed
253,R6,Post-Treatment,Adult,Zoox,0,453,525,444,570,573,547,519,11.01415674,3112,6,36,MS,02-04-19,Vortexed
263,R10,Post-Treatment,Adult,Zoox,0,384,397,370,401,435,400,398,5.464247644,2387,6,36,MS,02-05-19,Vortexed
271,R8,Post-Treatment,Adult,Zoox,0,554,523,505,511,533,498,521,3.956030955,3124,6,36,EC/MS,02-05-19,Vortexed
280,R12,Post-Treatment,Adult,Zoox,0,228,239,277,260,235,251,248,7.300335378,1490,6,36,MS,02-05-19,Vortexed
289,R7,Post-Treatment,Adult,Zoox,0,589,601,612,518,622,625,595,6.693560219,3567,6,36,MS,02-06-19,Vortexed. First load was low so redid one set
298,R15,Post-Treatment,Adult,Zoox,0,144,161,148,162,158,141,152,5.997380311,914,6,36,MS,02-06-19,Vortexed
307,R17,Pre-Treatment,Adult,Zoox,0,144,161,148,162,158,141,152,5.997380311,914,6,36,MS,02-11-19,Vortexed
316,R6,Pre-Treatment,Adult,Zoox,0,517,509,592,521,504,472,519,7.642202747,3115,6,36,EC,02-11-19,Vortexed
325,R2,Pre-Treatment,Adult,Zoox,0,211,230,228,218,219,239,224,4.491346369,1345,6,36,EC,02-11-19,Vortexed
334,R3,Pre-Treatment,Adult,Zoox,0,275,253,261,269,248,317,271,9.186523948,1623,6,36,MS,02-11-19,Vortexed
343,R8,Pre-Treatment,Adult,Zoox,0,413,481,466,496,419,491,461,7.891825138,2766,6,36,EC,02-11-19,Vortexed
352,R1,Pre-Treatment,Adult,Zoox,0,230,218,182,203,210,227,212,8.369897258,1270,6,36,MS,02-11-19,Vortexed
361,R18,Pre-Treatment,Adult,Zoox,0,216,197,209,226,211,237,216,6.468240443,1296,6,36,MS,2/13/19,Vortexed
370,R5,Pre-Treatment,Adult,Zoox,0,325,331,340,308,310,319,322,3.833974546,1933,6,36,MS,2/13/19,Vortexed
379,R20,Pre-Treatment,Adult,Zoox,0,359,369,356,307,379,392,360,8.13030211,2162,6,36,KR/EC,2/13/19,Vortexed. First four counts completed by KR on 2/13/19. Last two counts completed by EC on 2/14/19
388,R12,Pre-Treatment,Adult,Zoox,0,293,278,262,289,261,259,274,5.515926839,1642,6,36,EC,2/14/19,Vortexed
397,R4,Pre-Treatment,Adult,Zoox,0,260,249,246,267,286,269,263,5.578341762,1577,6,36,EC,2/14/19,Vortexed
406,R15,Pre-Treatment,Adult,Zoox,0,198,172,193,182,211,192,191,6.993856818,1148,6,36,MS,2/14/19,Vortexed
415,R9,Pre-Treatment,Adult,Zoox,0,330,330,305,344,322,292,321,5.899429142,1923,6,36,EC,2/14/19,Vortexed
424,R11,Pre-Treatment,Adult,Zoox,0,370,343,320,354,339,302,338,7.15707319,2028,6,36,MS,2/14/19,Vortexed
433,R16,Pre-Treatment,Adult,Zoox,0,530,536,579,571,570,590,563,4.291488167,3376,6,36,MS,2/14/19,Vortexed
442,R19,Pre-Treatment,Adult,Zoox,0,467,460,458,516,426,379,451,10.12213943,2706,6,36,EC,2/15/19,Vortexed
451,R10,Pre-Treatment,Adult,Zoox,0,202,184,188,208,171,223,196,9.523202119,1176,6,36,KR,2/15/19,Vortexed
460,R14,Pre-Treatment,Adult,Zoox,0,373,394,349,358,413,419,384,7.529666003,2306,6,36,EC,2/15/19,Vortexed
469,R7,Pre-Treatment,Adult,Zoox,0,793,817,705,798,873,762,791,7.078769695,4748,6,36,MS,2/15/19,Vortexed
478,R13,Pre-Treatment,Adult,Zoox,0,225,246,228,216,220,216,225,5.012146919,1351,6,36,EC,2/15/19,Vortexed
487,R16,Post-Treatment,Adult,Zoox,0,11,7,10,14,10,7,10,26.84180732,59,6,36,KR,2/15/19,Vortexed
496,P1,Post-Treatment,Adult,Zoox,0,523,546,553,552,594,537,551,4.340994174,3305,6,36,EC,2/15/19,Vortexed
505,P18,Post-Treatment,Adult,Zoox,0,148,168,183,161,140,147,158,10.1326547,947,6,36,KR,2/15/19,Vortexed
514,P19,Post-Treatment,Adult,Zoox,0,325,340,308,326,333,367,333,5.916586621,1999,6,36,MS,2/15/19,Vortexed
523,P6,Post-Treatment,Adult,Zoox,0,482,550,448,533,491,463,495,8.03088339,2967,6,36,KR,2/15/19,Vortexed
532,P9,Post-Treatment,Adult,Zoox,0,438,402,453,461,389,446,432,6.765742179,2589,6,36,MS,2/15/19,Vortexed
541,P14,Post-Treatment,Adult,Zoox,0,115,152,133,108,124,142,129,12.85980859,774,6,36,MS,2/15/19,Vortexed
550,P11,Post-Treatment,Adult,Zoox,0,246,232,236,241,252,229,239,3.639337328,1436,6,36,MS,2/15/19,Vortexed
559,P2,Post-Treatment,Adult,Zoox,0,716,789,837,856,734,757,782,7.200696041,4689,6,36,EC,2/18/19,Vortexed
568,P8,Post-Treatment,Adult,Zoox,0,632,574,597,612,589,555,593,4.597710455,3559,6,36,EC,2/18/19,Vortexed
577,P4,Post-Treatment,Adult,Zoox,0,457,471,473,467,448,466,464,2.039974568,2782,6,36,MS,2/18/19,Vortexed
587,R13,Post-Treatment,Adult,Zoox,0,64,57,55,64,52,54,58,8.954874789,346,6,36,EC,2/18/19,Vortexed
596,P13,Post-Treatment,Adult,Zoox,0,21,18,17,21,18,20,19,8.986442214,115,6,36,KR,2/18/19,Vortexed
604,P16,Post-Treatment,Adult,Zoox,0,357,337,370,381,364,371,363,4.17284983,2180,6,36,MS,2/18/19,Vortexed
613,P15,Post-Treatment,Adult,Zoox,0,169,139,160,169,182,157,163,8.922762728,976,6,36,KR/MS,2/18/19,Vortexed
622,P10,Post-Treatment,Adult,Zoox,0,361,358,363,336,322,390,355,6.646932374,2130,6,36,EC,2/18/19,Vortexed
631,P17,Post-Treatment,Adult,Zoox,0,36,35,35,34,41,42,37,9.229392436,223,6,36,MS,2/18/19,Vortexed
640,P20,Post-Treatment,Adult,Zoox,0,54,65,68,64,60,76,65,11.50843011,387,6,36,MS,2/18/19,Vortexed
649,R9,Post-Treatment,Adult,Zoox,0,441,484,423,452,504,454,460,6.410376724,2758,6,36,MS,2/19/19,Vortexed
658,P7,Post-Treatment,Adult,Zoox,0,372,386,388,379,405,401,389,3.250793035,2331,6,36,MS,2/19/19,Vortexed
667,R3,Post-Treatment,Adult,Zoox,0,382,369,363,376,382,392,377,2.742217947,2264,6,36,MS,2/19/19,Vortexed
