"","treatment","reef.zone","Date.coral.ID","N","Cells.x3.mm3","sd","se","ci"
"1","Ambient","Patch","20170713-P2",2,42.7868107976216,8.68335537349241,6.14005946804913,78.0168526933201
"2","Ambient","Patch","20170713-P5",2,33.556652972487,7.85000230930447,5.55078986523925,70.5294724752134
"3","Ambient","Patch","20170714-P1",2,39.6165785998363,4.72279916212645,3.33952331372176,42.4326669453772
"4","Ambient","Patch","20170714-P3",2,22.7201481828835,1.61637619268056,1.14295056679292,14.5225639049977
"5","Ambient","Patch","20170714-P4",2,32.7595914454094,4.40115425131676,3.11208601615408,39.54280207784
"6","Ambient","Patch","20170715-P1",2,20.4452074571696,0.284865908093209,0.201430615341572,2.55941863866366
"7","Ambient","Patch","20170715-P10",2,6.77465485557606,0.161293077056437,0.114051428545051,1.44916080154662
"8","Ambient","Patch","20170715-P2",2,23.4026688941537,4.17076534226561,2.94917645625385,37.4728398562675
"9","Ambient","Patch","20170715-P3",2,24.8458110279033,3.57328300920202,2.52669264690542,32.1046740769674
"10","Ambient","Patch","20170715-P5",2,9.67679569482641,2.22779976705952,1.5752923224136,20.0159867679113
"11","Ambient","Patch","20170716-P1",2,21.5073243989509,5.7366998383822,4.05645935735183,51.5422030984839
"12","Ambient","Patch","20170716-P10",2,8.61781682917915,0.53365093159914,0.37734819252027,4.79466339098802
"13","Ambient","Patch","20170716-P3",2,15.74007893452,3.82936342200048,2.70776884332426,34.405465301513
"14","Ambient","Patch","20170717-P2",2,20.5003882034895,1.67121383889632,1.18172663829639,15.0152606083854
"15","Ambient","Patch","20170717-P3",2,12.2406261560879,4.43925392378065,3.13902655291428,39.8851140536176
"16","Ambient","Patch","20170722-P10",2,6.67640016492262,0.290781786663189,0.205613773195081,2.61257069879409
"17","Ambient","Patch","20170723-P10",2,10.9103684448831,1.06782566460398,0.755066768566507,9.59403295088788
"18","Hot","Patch","20170713-P11",2,26.8556572519109,0.0559758801946868,0.0395809244685488,0.502923329944447
"19","Hot","Patch","20170713-P12",2,34.2537538925431,3.38522712156373,2.39371705351433,30.4150589624259
"20","Hot","Patch","20170713-P14",2,31.469723257073,1.65154937353776,1.16782176149295,14.8385823968896
"21","Hot","Patch","20170713-P16",3,90.0531426036427,11.3257400778619,6.53891908272531,28.1346980408989
"22","Hot","Patch","20170713-P17",1,69.8835039943044,NA,NA,NA
"23","Hot","Patch","20170713-P19",2,53.5943306130156,19.9533683228849,14.1091620486248,179.273901645692
"24","Hot","Patch","20170714-P11",2,26.254606714361,1.13391304862923,0.801797605961641,10.1878045383233
"25","Hot","Patch","20170714-P15",2,36.807374276887,6.60507768853335,4.6704952238259,59.3442685332579
"26","Hot","Patch","20170714-P16",2,29.9067849273568,7.00620169611534,4.95413272968385,62.9482247535469
"27","Hot","Patch","20170714-P17",2,46.0807760753547,0.261369218544565,0.184815946826291,2.34830925888482
"28","Hot","Patch","20170714-P18",2,24.8926705616464,3.83118741793467,2.70905860321818,34.4218532547857
"29","Hot","Patch","20170714-P19",2,12.3147939253145,2.20688111865923,1.56050060427649,19.8280401688614
"30","Hot","Patch","20170715-P11",2,32.7081350099166,3.16182222667283,2.23574593738671,28.4078456185063
"31","Hot","Patch","20170715-P17",2,16.6460321239886,0.986409595689796,0.697496914139735,8.86253859390954
"32","Hot","Patch","20170715-P19",2,44.1715840122271,29.7666562140482,21.0482044622022,267.442795225606
"33","Hot","Patch","20170715-P20",2,11.0850829546111,1.97501412969347,1.3965458840455,17.7447979261442
